Sea water temperature,pH,DO,Salinity,Transparency,TSS,CN⁻,Coliform,As,Hg,Pb,Cd,Cu,Zn,Total Chromium,Alkalinity,H₂S,Air temperature,BOD₅,COD,NH₃,label3
19.9,8.09,7.13,29.9,1.3,13.0,0.0018519625286135,38.2392542670463,0.0021273831698163,0.0004098484627598,0.0009960294767808,0.0002028934213647,0.0006890598899822,0.0106091957533192,0.001642037083786,126.690669642496,0.0605247673910745,27.131638361848,43.7874949086503,105.39095216066,0.0844238081353999,1
26.9,8.12,5.52,28.9,0.6,14.3,0.0009999999979926,28.0333406253086,0.0025020067295811,0.0005409185442682,0.0011562418494355,0.0002010847757668,0.0010930944079739,0.0145726997368221,0.0022158369968398,116.238730410835,0.0303054358246036,26.7156927623777,5.43370829252418,51.5812658422522,0.0085314838047532,2
24.2,8.05,5.87,27.4,0.5,7.2,0.003,2,0.0017,0.0002,0.0002,0.0002,0.0014,0.0108,0.0004,111.125855668702,0.0388970021438666,22.8686121918717,16.4241509897061,9.52143255655875,0.0432036871296603,2
26.5,7.66,4.57,25.3,0.5,24.8,0.0009999999760416,35.4245254514706,0.0025820150466365,0.0005303351797977,0.0014892426503556,0.0002025371027323,0.0012823843379604,0.019621764806018,0.0019663938273412,113.077800848815,0.0363951774531896,26.3775624716429,14.1872715545678,56.191151458514,0.0376339907913797,2
28.6,8.54,8.34,11.0,51.6,80.5,0.012493221991053,1234.74109732496,0.0227816175600019,0.0007929342590528,0.053169418969214,0.0043482933382963,0.0227547285379235,0.111352919879468,0.115453577787572,185.637858654917,0.113632066247861,33.5228982611902,68.0974372753967,161.570240479663,0.130815435348291,0
31.9,8.42,2.80,31.2,75.4,81.4,0.0133068426587843,2248.40007996343,0.0311239131211949,0.0010326912449517,0.0763337458502461,0.0059491686879709,0.030914043369244,0.162532627968013,0.151934961738057,199.969974418637,0.0901966450004203,34.7398780469189,70.145248278388,206.570094275933,0.119811133174259,0
23.4,8.04,6.12,29.0,0.6,19.8,0.0010000000061266,41.1476691231075,0.0019764936848074,0.0005194811011227,0.0009824173625381,0.0002000186985342,0.0010091463137289,0.0144720295314545,0.0010702668247473,129.797077414003,0.0138823571254489,28.7794855417285,3.34447044178679,52.5574428148049,0.0137671077518246,2
19.4,6.92,1.42,30.4,68.4,84.4,0.01616978211751,2111.86657824084,0.0270686952673111,0.0009307305355459,0.0660527265747144,0.0052700144583087,0.0268276983956828,0.142214304387062,0.131564535365094,197.886534432037,0.13374623529754,34.379930275398,76.1716399185327,183.706936771234,0.148388950417185,0
23.6,7.97,6.68,28.6,0.9,11.5,0.0019231469217292,22.9449568382534,0.001703668860437,0.0003976172383697,0.0005976532017792,0.0001999715346886,0.0008261069354844,0.0105018201408352,0.0009564899478692,114.747469811389,0.0071174123297303,24.1480767288209,2.72853970690111,69.5504989241151,0.0121781371037748,2
23.7,8.10,6.45,30.8,1.4,5.0,0.0010000000154262,3.44671343768997,0.0015501374601021,0.0005002095245228,0.0009004761337515,0.0002000073816102,0.0008959706226508,0.0082853656694782,0.0009155233593462,68.4136422995569,0.0785560892230646,18.9722336296788,36.5220745974661,112.99137749694,0.0582279059540061,1
17.5,8.86,3.04,33.7,108.0,92.8,0.0126833485176805,2273.09451673453,0.0230959482456813,0.0006562557485953,0.056404759367807,0.0060015911636563,0.0238435385639828,0.110002555112949,0.125245884229101,210.091869705507,0.160556428654453,35.5554195348089,64.5300295918054,220.697925759584,0.118801896927724,0
